Date,AAL,AAPL,ADBE,ADI,ADP,ADSK,ALGN,ALXN,AMAT,AMD,AMGN,AMZN,ASML,ATVI,AVGO,BIDU,BIIB,BKNG,BMRN,CDNS,CELG,CERN,CHKP,CHTR,CMCSA,COST,CSCO,CSX,CTAS,CTSH,CTXS,DLTR,EA,EBAY,EXPE,FAST,FB,FISV,GILD,GOOG,GOOGL,HAS,HSIC,IDXX,ILMN,INCY,INTC,INTU,ISRG,JBHT,JD,KLAC,LBTYA,LBTYK,LRCX,LULU,MAR,MCHP,MDLZ,MELI,MNST,MSFT,MU,MXIM,MYL,NFLX,NTAP,NTES,NVDA,NXPI,ORLY,PAYX,PCAR,PEP,QCOM,REGN,ROST,SBUX,SIRI,SNPS,SWKS,TMUS,TSLA,TTWO,TXN,UAL,ULTA,VRSK,VRSN,VRTX,WBA,WDAY,WDC,WLTW,WYNN,XEL,XLNX,F,VIS,CF
2015-02-17,45.58,117.64,77.13,52.31,77.92,61.13,57.63,178.97,22.3,3.11,134.87,375.43,97.56,22.62,98.71,208.81,397.91,1120.99,101.51,17.94,116.32,69.22,80.74,176.45,26.81,134.41,25.03,32.73,77.39,58.1,50.22,76.73,56.76,23.39,84.59,18.41,75.6,39.37,90.96,541.35,545.01,55.12,55.81,78.0,198.86,77.8,30.28,85.72,171.33,79.26,27.3,56.03,52.88,51.32,75.3,66.0,75.98,45.63,33.76,130.52,39.57,39.4,32.33,29.8,56.53,67.14,33.64,105.22,21.58,82.26,205.7,41.57,52.66,84.89,59.16,404.18,46.12,42.11,3.79,44.74,76.69,31.17,204.35,28.13,51.03,64.93,135.91,67.09,62.16,113.4,70.22,90.92,89.54,115.67,141.09,29.93,37.67,12.35,98.61,49.83
2015-02-18,46.82,118.46,77.73,51.93,78.35,61.11,56.54,180.29,22.27,3.08,136.21,373.37,98.26,22.55,97.94,207.15,401.12,1122.99,103.36,18.0,118.41,70.07,81.29,174.29,26.54,134.13,25.19,32.31,77.43,58.97,49.87,77.02,57.61,23.59,85.04,18.61,76.71,39.53,91.05,538.22,542.65,54.81,55.72,78.34,198.62,78.97,29.87,85.4,170.95,79.17,28.0,56.34,52.4,50.82,75.31,66.42,76.12,45.45,33.57,131.27,40.09,39.36,32.17,29.73,56.55,67.87,33.65,105.21,21.33,83.87,205.78,41.74,52.69,85.73,58.94,405.8,46.05,42.56,3.8,45.16,76.53,30.42,204.46,28.16,50.8,66.72,136.62,67.22,62.6,113.57,70.03,91.3,91.41,115.21,142.46,30.87,37.42,12.43,99.19,49.42
2015-02-19,47.26,118.21,77.73,52.17,78.47,61.46,56.81,182.28,23.04,3.06,136.45,379.0,99.1,22.46,98.74,207.24,406.73,1218.05,104.19,18.23,120.21,70.72,82.1,174.53,26.37,133.62,25.03,32.44,77.51,59.85,50.32,76.7,57.14,23.9,87.08,18.56,79.42,39.53,89.99,541.38,546.45,54.51,55.24,78.27,202.34,80.15,29.82,86.69,170.49,78.94,27.83,56.67,52.75,51.05,76.37,66.89,77.67,45.61,33.62,129.19,40.38,39.33,31.81,29.65,57.22,67.8,33.7,101.19,21.38,84.17,204.91,41.97,52.69,85.21,59.31,426.6,46.15,42.64,3.77,46.53,76.99,31.26,211.71,26.96,50.89,66.09,136.92,67.04,63.52,111.97,69.41,91.87,92.11,115.79,142.5,30.8,37.38,12.59,99.37,50.78
2015-02-20,48.44,119.17,78.55,52.59,79.33,62.37,56.81,186.02,23.22,3.06,137.86,383.66,99.34,22.45,99.77,209.63,408.05,1216.23,107.16,18.5,123.43,71.54,82.48,175.89,26.67,134.42,25.29,32.46,77.97,60.86,50.81,77.69,57.67,24.06,88.03,18.48,79.9,39.53,89.88,537.47,541.8,54.56,55.9,79.07,203.14,82.49,30.0,92.02,171.1,81.08,28.21,56.94,53.25,51.65,77.07,67.37,77.57,45.97,33.6,129.6,40.42,39.66,32.03,29.71,57.87,68.31,34.01,100.71,21.54,83.18,205.84,42.25,52.76,85.5,59.76,423.78,46.63,42.79,3.76,46.95,78.14,31.36,217.11,27.01,51.31,68.01,138.0,67.33,63.87,118.61,69.44,92.74,93.35,115.81,142.41,30.55,37.44,12.57,100.31,51.45
2015-02-23,48.71,122.39,78.1,52.46,79.76,61.95,56.54,184.14,23.02,3.06,138.52,380.14,99.6,22.51,100.48,206.43,408.58,1207.58,107.83,18.47,123.82,72.53,82.39,175.88,26.54,135.19,25.31,32.66,78.17,60.26,49.37,77.8,57.55,24.08,90.37,18.24,78.84,39.4,91.55,530.45,535.0,54.72,56.08,79.23,200.95,83.41,29.43,91.66,171.23,81.71,28.11,56.5,53.84,52.31,76.47,66.08,77.53,45.69,33.62,130.23,40.71,39.92,31.4,29.6,57.65,67.41,34.29,102.51,21.36,83.02,208.52,42.22,52.21,85.84,59.27,425.11,47.07,42.82,3.73,46.82,79.73,30.78,207.34,27.0,51.09,68.84,137.25,67.33,63.61,117.12,70.75,91.99,93.16,115.81,138.69,30.94,37.09,12.56,100.0,52.16
2015-02-24,48.91,121.63,77.68,53.02,79.84,62.07,56.56,182.29,23.43,3.11,137.6,378.59,104.93,22.67,100.77,208.06,404.89,1219.79,106.03,18.67,123.18,72.23,82.84,177.77,26.97,135.03,25.31,32.48,78.63,60.28,49.82,77.47,57.63,24.21,89.83,18.19,78.45,39.52,91.71,534.62,538.65,54.75,55.45,78.5,199.7,81.17,30.0,92.65,170.62,82.18,27.49,58.09,53.35,51.38,77.43,66.1,76.87,46.51,33.63,131.16,41.6,39.86,30.77,29.86,57.22,67.84,34.34,100.58,21.59,84.41,207.54,42.6,52.11,85.95,59.63,420.64,46.7,42.76,3.8,47.06,81.74,31.0,204.11,26.99,51.7,70.89,138.39,67.44,64.06,116.92,72.37,93.03,91.38,115.77,132.1,30.91,38.16,12.54,100.45,52.03
2015-02-25,47.21,118.52,78.07,52.82,79.67,62.01,56.16,184.9,23.19,3.1,138.22,385.37,103.24,22.6,100.33,203.53,408.94,1250.86,107.5,18.73,123.1,72.14,83.38,182.21,27.18,134.36,25.19,32.29,79.13,60.47,50.2,79.16,57.39,24.19,90.24,18.33,79.56,39.45,91.48,542.38,547.33,54.78,55.3,78.54,196.22,85.65,29.6,92.9,169.22,81.92,27.3,57.73,54.49,52.33,76.79,67.09,77.16,46.35,33.32,132.87,41.26,39.77,30.48,29.61,56.5,68.33,34.38,93.63,21.43,83.42,208.69,42.56,52.78,85.88,59.89,423.04,46.89,43.13,3.78,47.19,81.32,31.59,203.76,26.7,51.82,68.69,138.76,71.68,64.4,118.84,72.03,93.94,89.02,115.5,128.55,30.29,37.77,12.66,100.37,51.26
2015-02-26,46.85,120.02,78.96,52.72,79.47,61.01,56.43,183.11,23.02,3.08,139.0,384.8,102.24,22.49,115.08,205.88,410.1,1241.25,108.84,18.51,123.35,72.23,83.91,182.18,26.97,133.61,25.55,31.47,79.42,60.61,49.68,79.04,57.73,24.27,88.94,18.24,80.41,39.32,91.27,553.96,559.29,55.15,55.07,79.01,198.46,87.54,29.33,92.94,168.78,81.91,28.0,57.41,54.46,52.19,76.65,66.48,77.97,46.45,33.37,129.69,41.58,39.84,30.62,29.63,57.25,69.0,34.41,96.17,21.48,83.48,209.34,42.57,52.81,85.51,60.17,419.87,47.17,43.27,3.8,46.72,82.11,31.88,207.19,26.54,52.1,67.42,140.59,71.77,64.83,119.97,73.51,88.65,90.02,115.33,128.3,30.12,37.58,12.56,100.0,51.15
2015-02-27,45.48,118.22,79.1,52.42,79.47,64.24,57.35,180.37,23.15,3.11,137.91,380.16,102.02,22.46,113.63,203.75,409.59,1237.48,107.07,18.36,121.53,71.52,83.49,180.6,27.07,133.89,25.2,31.47,78.92,60.32,49.84,79.68,57.18,24.01,87.51,17.95,78.97,39.03,90.69,556.87,562.63,54.99,54.92,78.42,195.46,85.85,28.99,92.89,166.67,81.42,27.67,56.93,54.06,52.17,75.8,68.44,77.86,46.27,33.57,129.65,47.04,39.65,30.67,29.54,57.33,67.84,34.41,91.85,21.35,83.42,208.13,42.49,52.32,85.43,60.58,413.84,50.39,42.78,3.79,46.41,81.34,32.42,203.34,26.49,51.56,65.18,140.76,71.31,64.02,119.43,74.8,85.5,89.71,115.74,128.06,30.0,38.06,12.52,99.48,51.09
2015-03-02,45.87,118.8,79.79,53.53,80.66,64.0,57.76,184.62,23.68,3.21,139.58,385.66,104.15,22.39,114.87,205.04,415.79,1249.4,108.42,18.59,120.31,71.83,84.35,185.95,27.29,134.78,25.78,31.8,79.89,60.73,49.84,79.92,57.45,24.21,87.92,17.93,79.75,39.44,90.95,569.78,575.02,55.72,55.64,79.73,194.06,88.68,29.69,93.89,167.75,81.48,28.15,57.58,54.64,52.51,77.66,67.49,79.48,47.3,33.53,131.96,47.08,39.67,31.24,30.55,57.89,68.61,34.35,89.15,21.87,97.82,212.0,42.96,53.03,85.45,61.06,418.44,50.47,43.12,3.85,46.92,84.47,32.35,197.33,26.06,52.56,66.81,143.62,71.37,64.58,120.17,75.28,88.81,91.22,116.69,128.0,29.26,37.83,12.7,100.38,51.95
